Year,Series,Tipo de tecnología renovable,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,20.3
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,19.9
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,19.5
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,20.0
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,19.6
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,20.1
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegia,Watts per cápita,Alegia,20.0
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,837.4
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,793.5
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,818.2
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,800.5
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,782.4
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,817.8
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,819.6
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,801.2
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,786.7
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,791.4
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,777.0
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,793.2
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,794.5
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3406.9
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,2991.8
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3416.7
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,2282.9
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3436.4
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3442.5
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3166.7
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3932.6
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3249.1
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,2376.1
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3358.8
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,3397.1
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alkiza,Watts per cápita,Alkiza,4081.6
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3233.7
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3232.9
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3133.1
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3336.4
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3244.3
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3219.7
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3118.2
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3270.7
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3237.5
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3297.9
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3236.3
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3253.4
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Alonsotegi,Watts per cápita,Alonsotegi,3119.3
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,276.5
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,274.9
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,283.1
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzaga,Watts per cápita,Altzaga,0.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,277.8
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,254.2
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,102.0
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,98.3
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,3978.8
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,257.1
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,233.3
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,248.0
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,248.3
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,101.5
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,98.9
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,3768.8
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Altzo,Watts per cápita,Altzo,99.7
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6770.9
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6320.1
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6875.4
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,7057.5
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6365.6
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6591.1
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6325.7
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6756.2
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6778.3
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6784.2
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6309.2
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6857.0
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amezketa,Watts per cápita,Amezketa,6711.9
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,220.5
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,170.0
