Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2023,,,Soraluze/Placencia de las Armas,Euroak,Soraluze/Placencia de las Armas,1405.3
2022,,,Errezil,Euroak,Errezil,1008.9
2023,,,Errezil,Euroak,Errezil,1085.5
2022,,,Errenteria,Euroak,Errenteria,1241.8
2023,,,Errenteria,Euroak,Errenteria,1360.9
2022,,,Leintz-Gatzaga,Euroak,Leintz-Gatzaga,1197.8
2023,,,Leintz-Gatzaga,Euroak,Leintz-Gatzaga,1338.5
2022,,,Donostia / San Sebastián,Euroak,Donostia / San Sebastián,1399.3
2023,,,Donostia / San Sebastián,Euroak,Donostia / San Sebastián,1538.5
2022,,Urola Kosta,,Euroak,Urola Kosta,1335.3
2023,,Urola Kosta,,Euroak,Urola Kosta,1467.1
2022,,,Segura,Euroak,Segura,1315.6
2023,,,Segura,Euroak,Segura,1439.6
2022,,,Tolosa,Euroak,Tolosa,1370.9
2023,,,Tolosa,Euroak,Tolosa,1503.3
2022,,,Urnieta,Euroak,Urnieta,1292.9
2023,,,Urnieta,Euroak,Urnieta,1429.3
2022,,,Usurbil,Euroak,Usurbil,1387.8
2023,,,Usurbil,Euroak,Usurbil,1514.2
2022,,,Bergara,Euroak,Bergara,1352.0
2023,,,Bergara,Euroak,Bergara,1482.9
2022,,,Villabona,Euroak,Villabona,1320.6
2023,,,Villabona,Euroak,Villabona,1453.0
2022,,,Ordizia,Euroak,Ordizia,1464.0
2023,,,Ordizia,Euroak,Ordizia,1616.8
2022,,,Urretxu,Euroak,Urretxu,1413.5
2023,,,Urretxu,Euroak,Urretxu,1556.9
2022,,,Zaldibia,Euroak,Zaldibia,1372.3
2023,,,Zaldibia,Euroak,Zaldibia,1495.1
2022,,,Zarautz,Euroak,Zarautz,1371.0
2023,,,Zarautz,Euroak,Zarautz,1508.0
2022,,,Zumarraga,Euroak,Zumarraga,1432.2
2023,,,Zumarraga,Euroak,Zumarraga,1565.0
2022,,,Zumaia,Euroak,Zumaia,1429.4
2023,,,Zumaia,Euroak,Zumaia,1564.5
2022,,,Mendaro,Euroak,Mendaro,1264.3
2023,,,Mendaro,Euroak,Mendaro,1392.6
2022,,,Lasarte-Oria,Euroak,Lasarte-Oria,1390.4
2023,,,Lasarte-Oria,Euroak,Lasarte-Oria,1518.4
2022,,,Astigarraga,Euroak,Astigarraga,1299.4
2023,,,Astigarraga,Euroak,Astigarraga,1417.3
2022,,,Baliarrain,Euroak,Baliarrain,1197.2
2023,,,Baliarrain,Euroak,Baliarrain,1344.4
2022,,,Orendain,Euroak,Orendain,1067.7
2023,,,Orendain,Euroak,Orendain,1194.9
2022,,,Altzaga,Euroak,Altzaga,1264.8
2023,,,Altzaga,Euroak,Altzaga,1344.4
2022,,,Gaztelu,Euroak,Gaztelu,1212.2
2023,,,Gaztelu,Euroak,Gaztelu,1314.3
2022,Bizkaia,,,Euroak,Bizkaia,1364.3
2023,Bizkaia,,,Euroak,Bizkaia,1495.9
2022,,,Abadiño,Euroak,Abadiño,1429.1
2023,,,Abadiño,Euroak,Abadiño,1559.3
2022,,,Abanto y Ciérvana-Abanto Zierbena,Euroak,Abanto y Ciérvana-Abanto Zierbena,1380.5
2023,,,Abanto y Ciérvana-Abanto Zierbena,Euroak,Abanto y Ciérvana-Abanto Zierbena,1514.0
2022,,,Amorebieta-Etxano,Euroak,Amorebieta-Etxano,1399.2
2023,,,Amorebieta-Etxano,Euroak,Amorebieta-Etxano,1528.6
2022,,,Amoroto,Euroak,Amoroto,1055.1
2023,,,Amoroto,Euroak,Amoroto,1191.2
2022,,,Arakaldo,Euroak,Arakaldo,951.3
2023,,,Arakaldo,Euroak,Arakaldo,1144.0
2022,,,Arantzazu,Euroak,Arantzazu,1539.5
2023,,,Arantzazu,Euroak,Arantzazu,1751.3
2022,,,Munitibar-Arbatzegi Gerrikaitz,Euroak,Munitibar-Arbatzegi Gerrikaitz,986.0
2023,,,Munitibar-Arbatzegi Gerrikaitz,Euroak,Munitibar-Arbatzegi Gerrikaitz,1122.6
2022,,,Artzentales,Euroak,Artzentales,1142.0
2023,,,Artzentales,Euroak,Artzentales,1280.0
2022,,,Arrankudiaga-Zollo,Euroak,Arrankudiaga-Zollo,1392.6
2023,,,Arrankudiaga-Zollo,Euroak,Arrankudiaga-Zollo,1496.1
2022,,Arratia Nerbioi / Arratia-Nervión,,Euroak,Arratia Nerbioi / Arratia-Nervión,1349.6
2023,,Arratia Nerbioi / Arratia-Nervión,,Euroak,Arratia Nerbioi / Arratia-Nervión,1482.6
2022,,,Arrieta,Euroak,Arrieta,1026.5
2023,,,Arrieta,Euroak,Arrieta,1202.9
2022,,,Arrigorriaga,Euroak,Arrigorriaga,1327.8
2023,,,Arrigorriaga,Euroak,Arrigorriaga,1466.7
2022,,,Bakio,Euroak,Bakio,1342.2
2023,,,Bakio,Euroak,Bakio,1460.8
2022,,,Barakaldo,Euroak,Barakaldo,1350.9
2023,,,Barakaldo,Euroak,Barakaldo,1475.0
2022,,,Barrika,Euroak,Barrika,1522.1
2023,,,Barrika,Euroak,Barrika,1659.8
2022,,,Basauri,Euroak,Basauri,1325.3
2023,,,Basauri,Euroak,Basauri,1443.7
2022,,,Berango,Euroak,Berango,1441.6
2023,,,Berango,Euroak,Berango,1583.1
2022,,,Bermeo,Euroak,Bermeo,1195.4
2023,,,Bermeo,Euroak,Bermeo,1320.3
2022,,,Berriatua,Euroak,Berriatua,1078.6
2023,,,Berriatua,Euroak,Berriatua,1183.6
2022,,,Berriz,Euroak,Berriz,1356.1
2023,,,Berriz,Euroak,Berriz,1480.5
2022,,Bilbo Handia / Gran Bilbao,,Euroak,Bilbo Handia / Gran Bilbao,1377.5
2023,,Bilbo Handia / Gran Bilbao,,Euroak,Bilbo Handia / Gran Bilbao,1509.5
2022,,,Bilbao,Euroak,Bilbao,1350.7
2023,,,Bilbao,Euroak,Bilbao,1484.7
2022,,,Busturia,Euroak,Busturia,1255.4
2023,,,Busturia,Euroak,Busturia,1394.8
2022,,,Karrantza Harana/Valle de Carranza,Euroak,Karrantza Harana/Valle de Carranza,977.8
2023,,,Karrantza Harana/Valle de Carranza,Euroak,Karrantza Harana/Valle de Carranza,1073.3
2022,,,Artea,Euroak,Artea,1582.2
2023,,,Artea,Euroak,Artea,1701.5
2022,,,Zeanuri,Euroak,Zeanuri,1352.1
2023,,,Zeanuri,Euroak,Zeanuri,1495.8
2022,,,Zeberio,Euroak,Zeberio,1350.6
2023,,,Zeberio,Euroak,Zeberio,1466.3
2022,,,Dima,Euroak,Dima,1267.4
2023,,,Dima,Euroak,Dima,1400.9
2022,,,Durango,Euroak,Durango,1437.1
2023,,,Durango,Euroak,Durango,1574.6
2022,,,Ea,Euroak,Ea,1157.4
2023,,,Ea,Euroak,Ea,1299.8
2022,,,Etxebarri,Euroak,Etxebarri,1313.8
2023,,,Etxebarri,Euroak,Etxebarri,1428.0
2022,,Durangaldea / Duranguesado,,Euroak,Durangaldea / Duranguesado,1389.8
2023,,Durangaldea / Duranguesado,,Euroak,Durangaldea / Duranguesado,1521.6
2022,,,Etxebarria,Euroak,Etxebarria,1212.6
2023,,,Etxebarria,Euroak,Etxebarria,1326.8
2022,,,Elantxobe,Euroak,Elantxobe,1102.1
2023,,,Elantxobe,Euroak,Elantxobe,1169.1
2022,,,Elorrio,Euroak,Elorrio,1341.2
2023,,,Elorrio,Euroak,Elorrio,1468.1
2022,,,Ereño,Euroak,Ereño,1206.5
2023,,,Ereño,Euroak,Ereño,1351.3
2022,,,Ermua,Euroak,Ermua,1350.6
2023,,,Ermua,Euroak,Ermua,1477.2
2022,,,Fruiz,Euroak,Fruiz,1235.9
2023,,,Fruiz,Euroak,Fruiz,1368.5
2022,,,Galdakao,Euroak,Galdakao,1484.6
2023,,,Galdakao,Euroak,Galdakao,1625.6
2022,,,Galdames,Euroak,Galdames,1194.3
2023,,,Galdames,Euroak,Galdames,1336.5
2022,,,Gamiz-Fika,Euroak,Gamiz-Fika,1340.8
2023,,,Gamiz-Fika,Euroak,Gamiz-Fika,1508.9
2022,,,Garai,Euroak,Garai,1461.6
2023,,,Garai,Euroak,Garai,1578.5
2022,,Enkartazioak / Encartaciones,,Euroak,Enkartazioak / Encartaciones,1231.7
2023,,Enkartazioak / Encartaciones,,Euroak,Enkartazioak / Encartaciones,1357.3
2022,,,Gatika,Euroak,Gatika,1431.2
2023,,,Gatika,Euroak,Gatika,1559.6
2022,,,Gautegiz Arteaga,Euroak,Gautegiz Arteaga,1379.9
2023,,,Gautegiz Arteaga,Euroak,Gautegiz Arteaga,1497.6
2022,,,Gordexola,Euroak,Gordexola,1326.8
2023,,,Gordexola,Euroak,Gordexola,1455.9
2022,,,Gorliz,Euroak,Gorliz,1456.3
2023,,,Gorliz,Euroak,Gorliz,1595.8
2022,,,Getxo,Euroak,Getxo,1597.4
2023,,,Getxo,Euroak,Getxo,1748.9
2022,,,Güeñes,Euroak,Güeñes,1219.1
2023,,,Güeñes,Euroak,Güeñes,1353.9
2022,,,Gernika-Lumo,Euroak,Gernika-Lumo,1252.7
2023,,,Gernika-Lumo,Euroak,Gernika-Lumo,1373.7
2022,,,Gizaburuaga,Euroak,Gizaburuaga,1115.2
2023,,,Gizaburuaga,Euroak,Gizaburuaga,1224.3
2022,,,Ibarrangelu,Euroak,Ibarrangelu,1378.4
2023,,,Ibarrangelu,Euroak,Ibarrangelu,1528.6
2022,,,Ispaster,Euroak,Ispaster,1083.2
2023,,,Ispaster,Euroak,Ispaster,1219.8
2022,,Gernika-Bermeo,,Euroak,Gernika-Bermeo,1222.9
2023,,Gernika-Bermeo,,Euroak,Gernika-Bermeo,1348.0
2022,,,Izurtza,Euroak,Izurtza,1470.4
2023,,,Izurtza,Euroak,Izurtza,1568.0
2022,,,Lanestosa,Euroak,Lanestosa,836.6
2023,,,Lanestosa,Euroak,Lanestosa,933.2
2022,,,Larrabetzu,Euroak,Larrabetzu,1391.9
2023,,,Larrabetzu,Euroak,Larrabetzu,1514.9
2022,,,Laukiz,Euroak,Laukiz,1485.4
2023,,,Laukiz,Euroak,Laukiz,1630.5
2022,,,Leioa,Euroak,Leioa,1448.3
2023,,,Leioa,Euroak,Leioa,1584.0
2022,,,Lemoa,Euroak,Lemoa,1375.9
2023,,,Lemoa,Euroak,Lemoa,1523.0
2022,,,Lemoiz,Euroak,Lemoiz,1308.9
2023,,,Lemoiz,Euroak,Lemoiz,1444.8
2022,,,Lekeitio,Euroak,Lekeitio,1213.0
2023,,,Lekeitio,Euroak,Lekeitio,1328.4
2022,,,Mallabia,Euroak,Mallabia,1210.7
2023,,,Mallabia,Euroak,Mallabia,1344.5
2022,,,Mañaria,Euroak,Mañaria,1237.4
2023,,,Mañaria,Euroak,Mañaria,1360.6
2022,,Markina-Ondarroa,,Euroak,Markina-Ondarroa,1167.8
2023,,Markina-Ondarroa,,Euroak,Markina-Ondarroa,1283.8
2022,,,Markina-Xemein,Euroak,Markina-Xemein,1193.5
2023,,,Markina-Xemein,Euroak,Markina-Xemein,1316.3
2022,,,Maruri-Jatabe,Euroak,Maruri-Jatabe,1404.4
