Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,Baliarrain,PER_10000,Baliarrain,0.0
2021,,,Baliarrain,PER_10000,Baliarrain,0.0
2020,,,Balmaseda,PER_10000,Balmaseda,40.3
2021,,,Balmaseda,PER_10000,Balmaseda,35.0
2023,,,Balmaseda,PER_10000,Balmaseda,47.7
2019,,,Balmaseda,PER_10000,Balmaseda,33.1
2022,,,Balmaseda,PER_10000,Balmaseda,40.3
2023,,,Baños de Ebro / Mañueta,PER_10000,Baños de Ebro / Mañueta,0.0
2022,,,Baños de Ebro / Mañueta,PER_10000,Baños de Ebro / Mañueta,0.0
2021,,,Baños de Ebro / Mañueta,PER_10000,Baños de Ebro / Mañueta,73.0
2019,,,Baños de Ebro / Mañueta,PER_10000,Baños de Ebro / Mañueta,0.0
2020,,,Baños de Ebro / Mañueta,PER_10000,Baños de Ebro / Mañueta,146.0
2019,,,Barakaldo,PER_10000,Barakaldo,41.8
2023,,,Barakaldo,PER_10000,Barakaldo,60.0
2021,,,Barakaldo,PER_10000,Barakaldo,46.3
2020,,,Barakaldo,PER_10000,Barakaldo,40.0
2022,,,Barakaldo,PER_10000,Barakaldo,47.8
2022,,,Barrika,PER_10000,Barrika,39.0
2021,,,Barrika,PER_10000,Barrika,64.9
2019,,,Barrika,PER_10000,Barrika,0.0
2020,,,Barrika,PER_10000,Barrika,13.4
2023,,,Barrika,PER_10000,Barrika,25.7
2021,,,Barrundia,PER_10000,Barrundia,24.3
2023,,,Barrundia,PER_10000,Barrundia,0.0
2022,,,Barrundia,PER_10000,Barrundia,49.1
2019,,,Barrundia,PER_10000,Barrundia,23.9
2020,,,Barrundia,PER_10000,Barrundia,48.2
2019,,,Basauri,PER_10000,Basauri,41.6
2021,,,Basauri,PER_10000,Basauri,28.6
2023,,,Basauri,PER_10000,Basauri,40.6
2022,,,Basauri,PER_10000,Basauri,31.6
2020,,,Basauri,PER_10000,Basauri,34.0
2022,,,Beasain,PER_10000,Beasain,46.6
2020,,,Beasain,PER_10000,Beasain,21.8
2021,,,Beasain,PER_10000,Beasain,35.1
2019,,,Beasain,PER_10000,Beasain,20.4
2023,,,Beasain,PER_10000,Beasain,40.5
2019,,,Bedia,PER_10000,Bedia,17.7
2021,,,Bedia,PER_10000,Bedia,35.2
2020,,,Bedia,PER_10000,Bedia,0.0
2023,,,Bedia,PER_10000,Bedia,86.5
2022,,,Bedia,PER_10000,Bedia,0.0
2023,,,Beizama,PER_10000,Beizama,0.0
2021,,,Beizama,PER_10000,Beizama,0.0
2019,,,Beizama,PER_10000,Beizama,0.0
2020,,,Beizama,PER_10000,Beizama,0.0
2022,,,Beizama,PER_10000,Beizama,0.0
2023,,,Belauntza,PER_10000,Belauntza,67.6
2022,,,Belauntza,PER_10000,Belauntza,0.0
2019,,,Belauntza,PER_10000,Belauntza,0.0
2021,,,Belauntza,PER_10000,Belauntza,0.0
2020,,,Belauntza,PER_10000,Belauntza,0.0
2021,,,Berango,PER_10000,Berango,18.3
2020,,,Berango,PER_10000,Berango,21.2
2022,,,Berango,PER_10000,Berango,28.1
2023,,,Berango,PER_10000,Berango,15.2
2019,,,Berango,PER_10000,Berango,21.5
2023,,,Berantevilla,PER_10000,Berantevilla,0.0
2020,,,Berantevilla,PER_10000,Berantevilla,126.1
2021,,,Berantevilla,PER_10000,Berantevilla,43.1
