Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,38.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,38.5
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,154.6
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,34.6
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,33.7
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,38.2
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,183.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,24.8
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,32.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,39.0
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,32.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,31.7
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,34.6
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,41.9
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,174.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,172.7
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,180.6
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,180.3
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,166.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,119.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,30.8
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,209.0
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,180.3
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,149.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,Kg per cápita,184.4
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,122.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,107.8
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,120.5
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,135.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,94.8
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,98.7
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,19.5
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,22.2
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,104.7
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,110.3
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,93.0
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,18.7
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,25.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,26.4
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,19.3
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,24.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,18.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,136.8
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,20.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,113.2
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,19.9
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,27.2
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,93.5
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,Kg per cápita,102.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,21.3
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,21.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,Kg per cápita,23.4
