Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2011,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,170.3
2016,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,184.4
2012,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,171.4
2014,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,178.3
2018,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,275.6
2019,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,227.1
2015,Consumo de agua por habitante y día,,,Erriberagoitia/Ribera Alta,Litros per cápita diario,Erriberagoitia/Ribera Alta,168.2
2011,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,220.7
2015,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,253.0
2016,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,249.9
2014,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,239.4
2019,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,251.6
2018,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,264.0
2012,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,235.3
2017,Consumo de agua por habitante y día,,,Errigoiti,Litros per cápita diario,Errigoiti,262.4
2019,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,166.3
2012,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,197.8
2018,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,166.7
2014,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,166.6
2015,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,167.1
2016,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,167.6
2011,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,186.6
2017,Consumo de agua por habitante y día,,,Eskoriatza,Litros per cápita diario,Eskoriatza,176.9
2018,Consumo de agua por habitante y día,,,Etxebarri,Litros per cápita diario,Etxebarri,173.2
