Year,Province,County,Municipality,Unidad,GeoCode,Value
2023,Bizkaia,,,Euros,Bizkaia,1495.9
2022,,,Abadiño,Euros,Abadiño,1429.1
2023,,,Abadiño,Euros,Abadiño,1559.3
2022,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,1380.5
2023,,,Abanto y Ciérvana-Abanto Zierbena,Euros,Abanto y Ciérvana-Abanto Zierbena,1514.0
2022,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,1399.2
2023,,,Amorebieta-Etxano,Euros,Amorebieta-Etxano,1528.6
2022,,,Amoroto,Euros,Amoroto,1055.1
2023,,,Amoroto,Euros,Amoroto,1191.2
2022,,,Arakaldo,Euros,Arakaldo,951.3
2023,,,Arakaldo,Euros,Arakaldo,1144.0
2022,,,Arantzazu,Euros,Arantzazu,1539.5
2023,,,Arantzazu,Euros,Arantzazu,1751.3
2022,,,Munitibar-Arbatzegi Gerrikaitz,Euros,Munitibar-Arbatzegi Gerrikaitz,986.0
2023,,,Munitibar-Arbatzegi Gerrikaitz,Euros,Munitibar-Arbatzegi Gerrikaitz,1122.6
2022,,,Artzentales,Euros,Artzentales,1142.0
2023,,,Artzentales,Euros,Artzentales,1280.0
2022,,,Arrankudiaga-Zollo,Euros,Arrankudiaga-Zollo,1392.6
2023,,,Arrankudiaga-Zollo,Euros,Arrankudiaga-Zollo,1496.1
2022,,Arratia Nerbioi / Arratia-Nervión,,Euros,Arratia Nerbioi / Arratia-Nervión,1349.6
2023,,Arratia Nerbioi / Arratia-Nervión,,Euros,Arratia Nerbioi / Arratia-Nervión,1482.6
2022,,,Arrieta,Euros,Arrieta,1026.5
2023,,,Arrieta,Euros,Arrieta,1202.9
2022,,,Arrigorriaga,Euros,Arrigorriaga,1327.8
2023,,,Arrigorriaga,Euros,Arrigorriaga,1466.7
2022,,,Bakio,Euros,Bakio,1342.2
2023,,,Bakio,Euros,Bakio,1460.8
2022,,,Barakaldo,Euros,Barakaldo,1350.9
2023,,,Barakaldo,Euros,Barakaldo,1475.0
2022,,,Barrika,Euros,Barrika,1522.1
2023,,,Barrika,Euros,Barrika,1659.8
2022,,,Basauri,Euros,Basauri,1325.3
2023,,,Basauri,Euros,Basauri,1443.7
2022,,,Berango,Euros,Berango,1441.6
2023,,,Berango,Euros,Berango,1583.1
2022,,,Bermeo,Euros,Bermeo,1195.4
2023,,,Bermeo,Euros,Bermeo,1320.3
2022,,,Berriatua,Euros,Berriatua,1078.6
2023,,,Berriatua,Euros,Berriatua,1183.6
2022,,,Berriz,Euros,Berriz,1356.1
2023,,,Berriz,Euros,Berriz,1480.5
2022,,Bilbo Handia / Gran Bilbao,,Euros,Bilbo Handia / Gran Bilbao,1377.5
2023,,Bilbo Handia / Gran Bilbao,,Euros,Bilbo Handia / Gran Bilbao,1509.5
2022,,,Bilbao,Euros,Bilbao,1350.7
2023,,,Bilbao,Euros,Bilbao,1484.7
2022,,,Busturia,Euros,Busturia,1255.4
2023,,,Busturia,Euros,Busturia,1394.8
2022,,,Karrantza Harana/Valle de Carranza,Euros,Karrantza Harana/Valle de Carranza,977.8
2023,,,Karrantza Harana/Valle de Carranza,Euros,Karrantza Harana/Valle de Carranza,1073.3
2022,,,Artea,Euros,Artea,1582.2
2023,,,Artea,Euros,Artea,1701.5
2022,,,Zeanuri,Euros,Zeanuri,1352.1
2023,,,Zeanuri,Euros,Zeanuri,1495.8
2022,,,Zeberio,Euros,Zeberio,1350.6
2023,,,Zeberio,Euros,Zeberio,1466.3
2022,,,Dima,Euros,Dima,1267.4
2023,,,Dima,Euros,Dima,1400.9
2022,,,Durango,Euros,Durango,1437.1
2023,,,Durango,Euros,Durango,1574.6
2022,,,Ea,Euros,Ea,1157.4
2023,,,Ea,Euros,Ea,1299.8
2022,,,Etxebarri,Euros,Etxebarri,1313.8
2023,,,Etxebarri,Euros,Etxebarri,1428.0
2022,,Durangaldea / Duranguesado,,Euros,Durangaldea / Duranguesado,1389.8
2023,,Durangaldea / Duranguesado,,Euros,Durangaldea / Duranguesado,1521.6
2022,,,Etxebarria,Euros,Etxebarria,1212.6
2023,,,Etxebarria,Euros,Etxebarria,1326.8
2022,,,Elantxobe,Euros,Elantxobe,1102.1
2023,,,Elantxobe,Euros,Elantxobe,1169.1
2022,,,Elorrio,Euros,Elorrio,1341.2
2023,,,Elorrio,Euros,Elorrio,1468.1
2022,,,Ereño,Euros,Ereño,1206.5
2023,,,Ereño,Euros,Ereño,1351.3
2022,,,Ermua,Euros,Ermua,1350.6
2023,,,Ermua,Euros,Ermua,1477.2
2022,,,Fruiz,Euros,Fruiz,1235.9
2023,,,Fruiz,Euros,Fruiz,1368.5
2022,,,Galdakao,Euros,Galdakao,1484.6
2023,,,Galdakao,Euros,Galdakao,1625.6
2022,,,Galdames,Euros,Galdames,1194.3
2023,,,Galdames,Euros,Galdames,1336.5
2022,,,Gamiz-Fika,Euros,Gamiz-Fika,1340.8
2023,,,Gamiz-Fika,Euros,Gamiz-Fika,1508.9
2022,,,Garai,Euros,Garai,1461.6
2023,,,Garai,Euros,Garai,1578.5
2022,,Enkartazioak / Encartaciones,,Euros,Enkartazioak / Encartaciones,1231.7
2023,,Enkartazioak / Encartaciones,,Euros,Enkartazioak / Encartaciones,1357.3
2022,,,Gatika,Euros,Gatika,1431.2
2023,,,Gatika,Euros,Gatika,1559.6
2022,,,Gautegiz Arteaga,Euros,Gautegiz Arteaga,1379.9
2023,,,Gautegiz Arteaga,Euros,Gautegiz Arteaga,1497.6
2022,,,Gordexola,Euros,Gordexola,1326.8
2023,,,Gordexola,Euros,Gordexola,1455.9
2022,,,Gorliz,Euros,Gorliz,1456.3
2023,,,Gorliz,Euros,Gorliz,1595.8
2022,,,Getxo,Euros,Getxo,1597.4
2023,,,Getxo,Euros,Getxo,1748.9
2022,,,Güeñes,Euros,Güeñes,1219.1
2023,,,Güeñes,Euros,Güeñes,1353.9
2022,,,Gernika-Lumo,Euros,Gernika-Lumo,1252.7
2023,,,Gernika-Lumo,Euros,Gernika-Lumo,1373.7
2022,,,Gizaburuaga,Euros,Gizaburuaga,1115.2
2023,,,Gizaburuaga,Euros,Gizaburuaga,1224.3
2022,,,Ibarrangelu,Euros,Ibarrangelu,1378.4
2023,,,Ibarrangelu,Euros,Ibarrangelu,1528.6
2022,,,Ispaster,Euros,Ispaster,1083.2
2023,,,Ispaster,Euros,Ispaster,1219.8
2022,,Gernika-Bermeo,,Euros,Gernika-Bermeo,1222.9
2023,,Gernika-Bermeo,,Euros,Gernika-Bermeo,1348.0
2022,,,Izurtza,Euros,Izurtza,1470.4
2023,,,Izurtza,Euros,Izurtza,1568.0
2022,,,Lanestosa,Euros,Lanestosa,836.6
2023,,,Lanestosa,Euros,Lanestosa,933.2
2022,,,Larrabetzu,Euros,Larrabetzu,1391.9
2023,,,Larrabetzu,Euros,Larrabetzu,1514.9
2022,,,Laukiz,Euros,Laukiz,1485.4
2023,,,Laukiz,Euros,Laukiz,1630.5
2022,,,Leioa,Euros,Leioa,1448.3
2023,,,Leioa,Euros,Leioa,1584.0
2022,,,Lemoa,Euros,Lemoa,1375.9
2023,,,Lemoa,Euros,Lemoa,1523.0
2022,,,Lemoiz,Euros,Lemoiz,1308.9
2023,,,Lemoiz,Euros,Lemoiz,1444.8
2022,,,Lekeitio,Euros,Lekeitio,1213.0
2023,,,Lekeitio,Euros,Lekeitio,1328.4
2022,,,Mallabia,Euros,Mallabia,1210.7
2023,,,Mallabia,Euros,Mallabia,1344.5
2022,,,Mañaria,Euros,Mañaria,1237.4
2023,,,Mañaria,Euros,Mañaria,1360.6
2022,,Markina-Ondarroa,,Euros,Markina-Ondarroa,1167.8
2023,,Markina-Ondarroa,,Euros,Markina-Ondarroa,1283.8
2022,,,Markina-Xemein,Euros,Markina-Xemein,1193.5
2023,,,Markina-Xemein,Euros,Markina-Xemein,1316.3
2022,,,Maruri-Jatabe,Euros,Maruri-Jatabe,1404.4
2023,,,Maruri-Jatabe,Euros,Maruri-Jatabe,1562.0
2022,,,Mendata,Euros,Mendata,1059.0
2023,,,Mendata,Euros,Mendata,1149.8
2022,,,Mendexa,Euros,Mendexa,1169.8
2023,,,Mendexa,Euros,Mendexa,1352.0
2022,,,Meñaka,Euros,Meñaka,1373.9
2023,,,Meñaka,Euros,Meñaka,1514.6
2022,,,Ugao-Miraballes,Euros,Ugao-Miraballes,1335.1
2023,,,Ugao-Miraballes,Euros,Ugao-Miraballes,1452.8
2022,,,Morga,Euros,Morga,1177.2
2023,,,Morga,Euros,Morga,1305.1
2022,,,Muxika,Euros,Muxika,1133.9
2023,,,Muxika,Euros,Muxika,1248.1
2022,,,Mundaka,Euros,Mundaka,1284.3
2023,,,Mundaka,Euros,Mundaka,1428.5
2022,,,Mungia,Euros,Mungia,1422.5
2023,,,Mungia,Euros,Mungia,1556.9
2022,,Plentzia-Mungia,,Euros,Plentzia-Mungia,1441.8
