Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2016,,16 years and over,,,,,Zaldibia,%,Zaldibia,10.1
2023,,16 years and over,,,,,Zaldibia,%,Zaldibia,5.8
2010,,16 years and over,,,,,Zaldibia,%,Zaldibia,6.8
2018,,16 years and over,,,,,Zaldibia,%,Zaldibia,5.5
2021,,16 years and over,,,,,Zalduondo,%,Zalduondo,8.3
2015,,16 years and over,,,,,Zalduondo,%,Zalduondo,11.4
2020,,16 years and over,,,,,Zalduondo,%,Zalduondo,6.4
2019,,16 years and over,,,,,Zalduondo,%,Zalduondo,3.9
2016,,16 years and over,,,,,Zalduondo,%,Zalduondo,10.6
2010,,16 years and over,,,,,Zalduondo,%,Zalduondo,5.6
2022,,16 years and over,,,,,Zalduondo,%,Zalduondo,7.4
2023,,16 years and over,,,,,Zalduondo,%,Zalduondo,5.3
2018,,16 years and over,,,,,Zalduondo,%,Zalduondo,6.8
2010,,16 years and over,,,,,Zalla,%,Zalla,9.9
2023,,16 years and over,,,,,Zalla,%,Zalla,10.5
2015,,16 years and over,,,,,Zalla,%,Zalla,20.6
2019,,16 years and over,,,,,Zalla,%,Zalla,13.6
2021,,16 years and over,,,,,Zalla,%,Zalla,13.3
2022,,16 years and over,,,,,Zalla,%,Zalla,11.3
2020,,16 years and over,,,,,Zalla,%,Zalla,12.9
2016,,16 years and over,,,,,Zalla,%,Zalla,20.4
2018,,16 years and over,,,,,Zalla,%,Zalla,14.8
2010,,16 years and over,,,,,Zambrana,%,Zambrana,13.5
2019,,16 years and over,,,,,Zambrana,%,Zambrana,14.6
2020,,16 years and over,,,,,Zambrana,%,Zambrana,10.6
2023,,16 years and over,,,,,Zambrana,%,Zambrana,10.9
2015,,16 years and over,,,,,Zambrana,%,Zambrana,24.5
2021,,16 years and over,,,,,Zambrana,%,Zambrana,14.1
2016,,16 years and over,,,,,Zambrana,%,Zambrana,19.1
2018,,16 years and over,,,,,Zambrana,%,Zambrana,19.6
2022,,16 years and over,,,,,Zambrana,%,Zambrana,11.5
2018,,16 years and over,,,,,Zamudio,%,Zamudio,9.8
2015,,16 years and over,,,,,Zamudio,%,Zamudio,14.6
2019,,16 years and over,,,,,Zamudio,%,Zamudio,9.5
2016,,16 years and over,,,,,Zamudio,%,Zamudio,12.9
2020,,16 years and over,,,,,Zamudio,%,Zamudio,8.5
2022,,16 years and over,,,,,Zamudio,%,Zamudio,8.3
2023,,16 years and over,,,,,Zamudio,%,Zamudio,7.2
2021,,16 years and over,,,,,Zamudio,%,Zamudio,9.8
2010,,16 years and over,,,,,Zamudio,%,Zamudio,8.9
2016,,16 years and over,,,,,Zaratamo,%,Zaratamo,16.4
2022,,16 years and over,,,,,Zaratamo,%,Zaratamo,11.5
2019,,16 years and over,,,,,Zaratamo,%,Zaratamo,13.2
2018,,16 years and over,,,,,Zaratamo,%,Zaratamo,12.9
2020,,16 years and over,,,,,Zaratamo,%,Zaratamo,11.4
2023,,16 years and over,,,,,Zaratamo,%,Zaratamo,10.0
2015,,16 years and over,,,,,Zaratamo,%,Zaratamo,17.3
2010,,16 years and over,,,,,Zaratamo,%,Zaratamo,8.9
2021,,16 years and over,,,,,Zaratamo,%,Zaratamo,13.1
2019,,16 years and over,,,,,Zarautz,%,Zarautz,7.6
2023,,16 years and over,,,,,Zarautz,%,Zarautz,5.6
2021,,16 years and over,,,,,Zarautz,%,Zarautz,8.4
2022,,16 years and over,,,,,Zarautz,%,Zarautz,6.6
2020,,16 years and over,,,,,Zarautz,%,Zarautz,7.3
2015,,16 years and over,,,,,Zarautz,%,Zarautz,13.8
2016,,16 years and over,,,,,Zarautz,%,Zarautz,12.5
2018,,16 years and over,,,,,Zarautz,%,Zarautz,8.6
2010,,16 years and over,,,,,Zarautz,%,Zarautz,9.1
2010,,16 years and over,,,,,Zeanuri,%,Zeanuri,6.7
2020,,16 years and over,,,,,Zeanuri,%,Zeanuri,6.3
2019,,16 years and over,,,,,Zeanuri,%,Zeanuri,6.9
2016,,16 years and over,,,,,Zeanuri,%,Zeanuri,7.1
2022,,16 years and over,,,,,Zeanuri,%,Zeanuri,6.4
2015,,16 years and over,,,,,Zeanuri,%,Zeanuri,9.4
2021,,16 years and over,,,,,Zeanuri,%,Zeanuri,8.4
2023,,16 years and over,,,,,Zeanuri,%,Zeanuri,5.6
2018,,16 years and over,,,,,Zeanuri,%,Zeanuri,6.5
2010,,16 years and over,,,,,Zeberio,%,Zeberio,4.8
2021,,16 years and over,,,,,Zeberio,%,Zeberio,9.0
2016,,16 years and over,,,,,Zeberio,%,Zeberio,11.0
2018,,16 years and over,,,,,Zeberio,%,Zeberio,9.7
2015,,16 years and over,,,,,Zeberio,%,Zeberio,12.0
2019,,16 years and over,,,,,Zeberio,%,Zeberio,8.3
2023,,16 years and over,,,,,Zeberio,%,Zeberio,6.7
2022,,16 years and over,,,,,Zeberio,%,Zeberio,6.9
2020,,16 years and over,,,,,Zeberio,%,Zeberio,7.9
2015,,16 years and over,,,,,Zegama,%,Zegama,11.4
2010,,16 years and over,,,,,Zegama,%,Zegama,9.9
2016,,16 years and over,,,,,Zegama,%,Zegama,12.2
2023,,16 years and over,,,,,Zegama,%,Zegama,4.4
2018,,16 years and over,,,,,Zegama,%,Zegama,8.6
2021,,16 years and over,,,,,Zegama,%,Zegama,7.0
2019,,16 years and over,,,,,Zegama,%,Zegama,7.1
2022,,16 years and over,,,,,Zegama,%,Zegama,5.5
2020,,16 years and over,,,,,Zegama,%,Zegama,5.7
2010,,16 years and over,,,,,Zerain,%,Zerain,7.0
2016,,16 years and over,,,,,Zerain,%,Zerain,9.1
2023,,16 years and over,,,,,Zerain,%,Zerain,3.9
2022,,16 years and over,,,,,Zerain,%,Zerain,1.5
2020,,16 years and over,,,,,Zerain,%,Zerain,5.1
2018,,16 years and over,,,,,Zerain,%,Zerain,7.4
2015,,16 years and over,,,,,Zerain,%,Zerain,12.7
2019,,16 years and over,,,,,Zerain,%,Zerain,2.6
2021,,16 years and over,,,,,Zerain,%,Zerain,2.5
2016,,16 years and over,,,,,Zestoa,%,Zestoa,15.9
2021,,16 years and over,,,,,Zestoa,%,Zestoa,11.3
