Year,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2023,,,ES48056,EUR,ES48056,1444.8
2022,,,ES48057,EUR,ES48057,1213.0
2023,,,ES48057,EUR,ES48057,1328.4
2022,,,ES48058,EUR,ES48058,1210.7
2023,,,ES48058,EUR,ES48058,1344.5
2022,,,ES48059,EUR,ES48059,1237.4
2023,,,ES48059,EUR,ES48059,1360.6
2022,,ES4806,,EUR,ES4806,1167.8
2023,,ES4806,,EUR,ES4806,1283.8
2022,,,ES48060,EUR,ES48060,1193.5
2023,,,ES48060,EUR,ES48060,1316.3
2022,,,ES48061,EUR,ES48061,1404.4
2023,,,ES48061,EUR,ES48061,1562.0
2022,,,ES48062,EUR,ES48062,1059.0
2023,,,ES48062,EUR,ES48062,1149.8
2022,,,ES48063,EUR,ES48063,1169.8
2023,,,ES48063,EUR,ES48063,1352.0
2022,,,ES48064,EUR,ES48064,1373.9
2023,,,ES48064,EUR,ES48064,1514.6
2022,,,ES48065,EUR,ES48065,1335.1
2023,,,ES48065,EUR,ES48065,1452.8
2022,,,ES48066,EUR,ES48066,1177.2
2023,,,ES48066,EUR,ES48066,1305.1
2022,,,ES48067,EUR,ES48067,1133.9
2023,,,ES48067,EUR,ES48067,1248.1
2022,,,ES48068,EUR,ES48068,1284.3
2023,,,ES48068,EUR,ES48068,1428.5
2022,,,ES48069,EUR,ES48069,1422.5
2023,,,ES48069,EUR,ES48069,1556.9
2022,,ES4807,,EUR,ES4807,1441.8
2023,,ES4807,,EUR,ES4807,1583.3
2022,,,ES48070,EUR,ES48070,1064.6
2023,,,ES48070,EUR,ES48070,1161.7
2022,,,ES48071,EUR,ES48071,1393.6
2023,,,ES48071,EUR,ES48071,1524.2
2022,,,ES48072,EUR,ES48072,1206.2
2023,,,ES48072,EUR,ES48072,1329.6
2022,,,ES48073,EUR,ES48073,1154.7
2023,,,ES48073,EUR,ES48073,1264.7
2022,,,ES48074,EUR,ES48074,1330.0
2023,,,ES48074,EUR,ES48074,1481.2
2022,,,ES48075,EUR,ES48075,1328.8
2023,,,ES48075,EUR,ES48075,1470.0
2022,,,ES48076,EUR,ES48076,1354.1
2023,,,ES48076,EUR,ES48076,1461.0
2022,,,ES48077,EUR,ES48077,1544.1
2023,,,ES48077,EUR,ES48077,1703.1
2022,,,ES48078,EUR,ES48078,1375.9
