Year,Series,Energia,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,293.3
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,294.5
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,296.3
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,291.8
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,294.8
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,295.5
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20045,W_PER_CAPITA,ES20045,296.8
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01901,W_PER_CAPITA,ES01901,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2951.2
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2656.4
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2634.7
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2617.6
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2917.4
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2699.4
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2672.6
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2621.9
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2953.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,3038.3
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2989.5
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2765.7
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20046,W_PER_CAPITA,ES20046,2671.1
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01027,W_PER_CAPITA,ES01027,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48049,W_PER_CAPITA,ES48049,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20047,W_PER_CAPITA,ES20047,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20047,W_PER_CAPITA,ES20047,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20047,W_PER_CAPITA,ES20047,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES20047,W_PER_CAPITA,ES20047,0.0
