Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2011,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7551.2
2022,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,8378.1
2013,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,6771.7
2014,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7607.0
2017,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,8371.2
2019,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7418.3
2018,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,7092.3
2020,Consumo de energía eléctrica por habitante ,,,Lapuebla de Labarca,Kw per cápita diario,Lapuebla de Labarca,6945.6
2011,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4386.1
2022,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4819.7
2017,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4924.5
2019,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4791.3
2016,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4613.9
2021,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4878.8
2013,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4406.2
2015,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4817.4
2012,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4457.2
2014,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4294.4
2020,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4501.3
2010,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,4252.7
2018,Consumo de energía eléctrica por habitante ,,,Larrabetzu,Kw per cápita diario,Larrabetzu,5024.1
2015,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1743.0
2021,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1674.3
2014,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1716.1
2010,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,2095.3
2013,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1797.4
2012,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1842.9
2018,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1701.1
2017,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1653.2
2016,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1757.4
2022,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1697.2
2011,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1866.0
2019,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1701.2
2020,Consumo de energía eléctrica por habitante ,,,Larraul,Kw per cápita diario,Larraul,1754.9
2016,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2147.1
2020,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,1916.2
2013,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2126.9
2021,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2024.6
2012,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2253.0
2017,Consumo de energía eléctrica por habitante ,,,Lasarte-Oria,Kw per cápita diario,Lasarte-Oria,2095.9
