Year,Series,Valor,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,6682.3
2012,NV_IND_MANF,NOM,,,,PT,,19
2020,NV_IND_MANFPC,NOM,,,,EUR_PER_CAPITA,,5747.7
2020,NV_IND_MANF,NOM,,,,PT,,17.6
2014,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,31641.9
2018,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,47.1
2016,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,44.9
2020,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,43
2015,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,31306.4
2017,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,44.6
2017,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,35385.7
2018,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,37497.8
2014,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,45.2
2016,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,35772.2
2019,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,38760.4
2015,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,41.5
2021,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,33.3
2021,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,29705.7
2019,NV_IND_MANF,NOM,,,ES48001,PT,ES48001,47.6
2020,NV_IND_MANFPC,NOM,,,ES48001,EUR_PER_CAPITA,ES48001,29952.5
2017,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,107.3
2015,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,2.4
2018,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,0.7
2021,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,2
2019,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,174.5
2014,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,0.9
2020,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,2.7
2014,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,156.7
2017,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,0.5
2021,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,389.5
2018,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,155.8
2020,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,557.2
2019,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,0.7
2016,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,391.2
2015,NV_IND_MANFPC,NOM,,,ES20001,EUR_PER_CAPITA,ES20001,372.8
2016,NV_IND_MANF,NOM,,,ES20001,PT,ES20001,2.3
2020,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,11358.5
2020,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,35.4
2017,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,11529.4
2014,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,8977.2
2021,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,12209.5
2015,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,34.3
2019,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,11978.9
2018,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,34.3
2017,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,37.3
2015,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,9814.7
2016,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,10150.5
2019,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,34.5
2021,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,36.1
2016,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,34.5
2014,NV_IND_MANF,NOM,,,ES48002,PT,ES48002,32.3
2018,NV_IND_MANFPC,NOM,,,ES48002,EUR_PER_CAPITA,ES48002,11104.3
2018,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,81393.8
2016,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,47.8
2020,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,37.9
2016,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,58027.5
2014,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,44.9
2020,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,67750.3
2021,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,98033.3
2017,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,68308
2015,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,54815.1
2017,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,50.5
2018,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,54.6
2014,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,53487.1
2015,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,44.6
2019,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,54
2021,NV_IND_MANF,NOM,,,ES20002,PT,ES20002,47.9
2019,NV_IND_MANFPC,NOM,,,ES20002,EUR_PER_CAPITA,ES20002,87023.9
2020,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,6647.7
2019,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,23.8
2015,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,6892.6
2017,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,26.3
2019,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,7903.3
2021,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,8239.2
2014,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,6366.9
2017,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,8119.4
2018,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,23.5
2016,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,25.9
2015,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,24.7
2018,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,7798.4
2020,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,22.2
2016,NV_IND_MANFPC,NOM,,,ES01051,EUR_PER_CAPITA,ES01051,7410.8
2014,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,23.4
2021,NV_IND_MANF,NOM,,,ES01051,PT,ES01051,23.4
2021,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,16288.4
2016,NV_IND_MANF,NOM,,,ES20016,PT,ES20016,36.8
2020,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,14666.5
2015,NV_IND_MANFPC,NOM,,,ES20016,EUR_PER_CAPITA,ES20016,11624.8
