Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,,,20026,PT,20026,8.2
2020,,,20026,PT,20026,7.8
2014,,,20027,PT,20027,1.6
2015,,,20027,PT,20027,1.6
2016,,,20027,PT,20027,1.7
2017,,,20027,PT,20027,2
2018,,,20027,PT,20027,1.7
2019,,,20027,PT,20027,1.9
2020,,,20027,PT,20027,1.6
2014,,,20028,PT,20028,1.2
2015,,,20028,PT,20028,1.2
2016,,,20028,PT,20028,1.1
2017,,,20028,PT,20028,1.2
2018,,,20028,PT,20028,0.9
2019,,,20028,PT,20028,1.1
2020,,,20028,PT,20028,1
2014,,,20029,PT,20029,1.1
2015,,,20029,PT,20029,1.1
2016,,,20029,PT,20029,1.1
2017,,,20029,PT,20029,1.3
2018,,,20029,PT,20029,0.9
2019,,,20029,PT,20029,1.2
2020,,,20029,PT,20029,1.2
2014,,2003,,PT,2003,0.5
2015,,2003,,PT,2003,0.5
2016,,2003,,PT,2003,0.5
2017,,2003,,PT,2003,0.7
2018,,2003,,PT,2003,0.4
2019,,2003,,PT,2003,0.6
2020,,2003,,PT,2003,0.5
2014,,,20030,PT,20030,0.1
2015,,,20030,PT,20030,0.1
2016,,,20030,PT,20030,0.2
2017,,,20030,PT,20030,0.2
2018,,,20030,PT,20030,0.2
2019,,,20030,PT,20030,0.2
2020,,,20030,PT,20030,0.2
2014,,,20031,PT,20031,7.9
2015,,,20031,PT,20031,7
2016,,,20031,PT,20031,5.8
2017,,,20031,PT,20031,7.2
2018,,,20031,PT,20031,6.5
2019,,,20031,PT,20031,7.8
2020,,,20031,PT,20031,7.2
2014,,,20032,PT,20032,0.3
2015,,,20032,PT,20032,0.3
2016,,,20032,PT,20032,0.3
2017,,,20032,PT,20032,0.4
2018,,,20032,PT,20032,0.3
2019,,,20032,PT,20032,0.5
2020,,,20032,PT,20032,0.4
2014,,,20033,PT,20033,0.9
2015,,,20033,PT,20033,1
2016,,,20033,PT,20033,1.2
2017,,,20033,PT,20033,1.5
2018,,,20033,PT,20033,0.9
2019,,,20033,PT,20033,1.3
2020,,,20033,PT,20033,1.3
2014,,,20034,PT,20034,0.7
2015,,,20034,PT,20034,0.7
2016,,,20034,PT,20034,0.8
2017,,,20034,PT,20034,1
2018,,,20034,PT,20034,0.9
2019,,,20034,PT,20034,1
2020,,,20034,PT,20034,1
2014,,,20035,PT,20035,1.7
2015,,,20035,PT,20035,1.7
2016,,,20035,PT,20035,1.9
2017,,,20035,PT,20035,2.5
2018,,,20035,PT,20035,1.6
2019,,,20035,PT,20035,2.1
2020,,,20035,PT,20035,1.9
2014,,,20036,PT,20036,4.5
2015,,,20036,PT,20036,5.2
2016,,,20036,PT,20036,4.8
2017,,,20036,PT,20036,6.6
2018,,,20036,PT,20036,6
2019,,,20036,PT,20036,5.8
2020,,,20036,PT,20036,4.7
2014,,,20037,PT,20037,13.7
2015,,,20037,PT,20037,13.9
2016,,,20037,PT,20037,13.8
2017,,,20037,PT,20037,16.5
2018,,,20037,PT,20037,12.3
2019,,,20037,PT,20037,15.7
2020,,,20037,PT,20037,14.6
2014,,,20038,PT,20038,5.7
2015,,,20038,PT,20038,6.6
2016,,,20038,PT,20038,6.3
2017,,,20038,PT,20038,6.6
2018,,,20038,PT,20038,4.9
2019,,,20038,PT,20038,5.8
2020,,,20038,PT,20038,6.2
2014,,,20039,PT,20039,18.1
2015,,,20039,PT,20039,20.7
2016,,,20039,PT,20039,19.2
2017,,,20039,PT,20039,24.7
2018,,,20039,PT,20039,23
2019,,,20039,PT,20039,20.8
2020,,,20039,PT,20039,17.6
2014,,2004,,PT,2004,0.2
2015,,2004,,PT,2004,0.2
2016,,2004,,PT,2004,0.2
2017,,2004,,PT,2004,0.2
2018,,2004,,PT,2004,0.2
2019,,2004,,PT,2004,0.2
2020,,2004,,PT,2004,0.2
2014,,,20040,PT,20040,0.5
2015,,,20040,PT,20040,0.5
2016,,,20040,PT,20040,0.4
2017,,,20040,PT,20040,0.3
2018,,,20040,PT,20040,0.3
2019,,,20040,PT,20040,0.3
2020,,,20040,PT,20040,0.3
2014,,,20041,PT,20041,4.9
2015,,,20041,PT,20041,7.3
2016,,,20041,PT,20041,5.8
2017,,,20041,PT,20041,7
2018,,,20041,PT,20041,5.4
2019,,,20041,PT,20041,5.5
2020,,,20041,PT,20041,5.5
2014,,,20042,PT,20042,0.6
2015,,,20042,PT,20042,0.6
2016,,,20042,PT,20042,0.5
2017,,,20042,PT,20042,0.6
2018,,,20042,PT,20042,0.5
2019,,,20042,PT,20042,0.5
2020,,,20042,PT,20042,0.5
2014,,,20043,PT,20043,1.6
2015,,,20043,PT,20043,2.5
2016,,,20043,PT,20043,1.6
2017,,,20043,PT,20043,1.9
2018,,,20043,PT,20043,1.3
2019,,,20043,PT,20043,1.2
2020,,,20043,PT,20043,1
2014,,,20044,PT,20044,0.6
2015,,,20044,PT,20044,0.8
2016,,,20044,PT,20044,0.5
2017,,,20044,PT,20044,0.5
2018,,,20044,PT,20044,0.4
2019,,,20044,PT,20044,0.4
2020,,,20044,PT,20044,0.5
2014,,,20045,PT,20045,0.1
2015,,,20045,PT,20045,0.2
2016,,,20045,PT,20045,0.1
2017,,,20045,PT,20045,0.1
2018,,,20045,PT,20045,0.1
2019,,,20045,PT,20045,0.1
2020,,,20045,PT,20045,0.1
2014,,,20046,PT,20046,0.1
2015,,,20046,PT,20046,0.1
2016,,,20046,PT,20046,0.1
2017,,,20046,PT,20046,0.1
2018,,,20046,PT,20046,0.1
2019,,,20046,PT,20046,0.1
2020,,,20046,PT,20046,0.1
2014,,,20047,PT,20047,1
2015,,,20047,PT,20047,1.2
2016,,,20047,PT,20047,1.4
2017,,,20047,PT,20047,1.7
2018,,,20047,PT,20047,1.6
2019,,,20047,PT,20047,1.8
2020,,,20047,PT,20047,1.3
2014,,,20048,PT,20048,6.8
2015,,,20048,PT,20048,7.5
2016,,,20048,PT,20048,4.8
2017,,,20048,PT,20048,4.5
2018,,,20048,PT,20048,4.3
2019,,,20048,PT,20048,4.3
2020,,,20048,PT,20048,5.1
2014,,,20049,PT,20049,0.8
2015,,,20049,PT,20049,0.8
2016,,,20049,PT,20049,0.8
2017,,,20049,PT,20049,0.9
2018,,,20049,PT,20049,0.6
2019,,,20049,PT,20049,0.7
2020,,,20049,PT,20049,0.7
2014,,2005,,PT,2005,0.6
2015,,2005,,PT,2005,0.7
2016,,2005,,PT,2005,0.6
2017,,2005,,PT,2005,0.7
2018,,2005,,PT,2005,0.5
2019,,2005,,PT,2005,0.6
2020,,2005,,PT,2005,0.6
2014,,,20050,PT,20050,2
2015,,,20050,PT,20050,1.9
2016,,,20050,PT,20050,1.8
2017,,,20050,PT,20050,2.1
2018,,,20050,PT,20050,1.7
2019,,,20050,PT,20050,2.1
2020,,,20050,PT,20050,2
2014,,,20051,PT,20051,0.4
2015,,,20051,PT,20051,0.3
2016,,,20051,PT,20051,0.4
2017,,,20051,PT,20051,0.5
2018,,,20051,PT,20051,0.3
2019,,,20051,PT,20051,0.5
2020,,,20051,PT,20051,0.4
2014,,,20052,PT,20052,2.1
2015,,,20052,PT,20052,2.3
2016,,,20052,PT,20052,1.6
2017,,,20052,PT,20052,1.5
2018,,,20052,PT,20052,1.2
2019,,,20052,PT,20052,1.2
2020,,,20052,PT,20052,1
2014,,,20053,PT,20053,0.1
2015,,,20053,PT,20053,0.2
2016,,,20053,PT,20053,0.1
2017,,,20053,PT,20053,0.2
2018,,,20053,PT,20053,0.1
2019,,,20053,PT,20053,0.1
2020,,,20053,PT,20053,0.1
2014,,,20054,PT,20054,1.6
2015,,,20054,PT,20054,1.7
2016,,,20054,PT,20054,1.6
2017,,,20054,PT,20054,1.8
2018,,,20054,PT,20054,1.3
2019,,,20054,PT,20054,1.6
2020,,,20054,PT,20054,1.4
2014,,,20055,PT,20055,0.1
2015,,,20055,PT,20055,0.1
2016,,,20055,PT,20055,0.2
2017,,,20055,PT,20055,0.2
2018,,,20055,PT,20055,0.1
2019,,,20055,PT,20055,0.2
2020,,,20055,PT,20055,0.2
2014,,,20056,PT,20056,2.1
2015,,,20056,PT,20056,2.1
2016,,,20056,PT,20056,2.3
2017,,,20056,PT,20056,2.5
2018,,,20056,PT,20056,2.4
2019,,,20056,PT,20056,2.5
2020,,,20056,PT,20056,2.6
2014,,,20057,PT,20057,10.1
2015,,,20057,PT,20057,10.2
2016,,,20057,PT,20057,11.8
2017,,,20057,PT,20057,14
2018,,,20057,PT,20057,7
2019,,,20057,PT,20057,7.7
2020,,,20057,PT,20057,8
2014,,,20058,PT,20058,0.2
